player,hands,all-in_adj_bb,all-in_adj_bb_100,my_c_all-in_adj,vpip,pfr,call_any_pfr,3bet_pf,fold_to_3bet,4bet_pf,fold_to_4bet+,limp,total_af,cbet_f,cbet_t,cbet_r,fold_to_f_cbet,fold_to_t_cbet,fold_to_r_cbet,xr_flop,xr_turn,xr_river,fold_to_f_xr,fold_to_t_xr,fold_to_r_xr
MissMDM,1145,-124.84,-10.9,-31.21,26.34,19.05,19.81,5.07,64.71,8.42,62.5,0.62,1.99,63.33,50.0,100.0,43.14,30.0,100.0,12.2,10.53,0.0,33.33,0.0,50.0
Riwaldo21,1143,-331.88,-29.04,-82.97,32.64,16.16,29.78,2.53,66.0,6.38,40.0,10.68,1.12,54.55,78.57,33.33,36.47,35.48,33.33,1.49,5.13,5.26,0.0,0.0,50.0
frojest,1142,53.92,4.72,13.48,22.78,19.82,8.57,7.24,83.56,5.8,85.71,0.3,3.21,69.51,48.48,50.0,35.29,16.67,47.36400357462019,0.0,8.33,0.0,75.0,20.0,50.0
AceWilko,1141,-267.44,-23.44,-66.86,24.69,11.09,26.68,2.49,60.94,3.17,60.0,6.24,1.59,63.64,33.33,51.94104895104895,47.56,52.63,66.67,8.47,18.18,0.0,40.0,33.33,50.0
panosks,1141,-473.4,-41.49,-118.35,41.51,15.8,41.32,3.61,67.44,4.88,40.0,19.22,1.66,71.19,53.33,0.0,44.44,44.44,57.14,4.08,4.08,0.0,66.67,75.0,50.0
FearingAces,1138,12.16,1.07,3.04,34.88,6.38,39.71,1.3,52.7,2.9,37.5,27.33,2.51,59.26,50.0,100.0,41.11,25.0,33.33,0.0,10.0,0.0,33.33,0.0,50.0
AnDrEjSiToVaC,1138,-256.88,-22.57,-64.22,21.97,3.16,21.52,0.84,83.33,3.45,50.0,20.16,3.33,88.89,83.33,100.0,74.47,33.33,100.0,3.33,0.0,0.0,40.0,42.11,50.0
CarsonRody,1137,-47.28,-4.16,-11.82,41.78,21.74,38.13,10.86,57.84,5.05,58.33,8.85,1.6,55.29,55.56,50.0,37.27,48.57,20.0,8.42,11.32,6.25,20.0,100.0,50.0
AhSir168,1135,22.64,1.99,5.66,35.09,17.36,36.94,2.88,56.25,5.32,66.67,5.01,1.01,40.58,73.33,100.0,35.16,46.88,50.0,4.49,2.13,3.85,0.0,66.67,50.0
noya12212,1133,-77.32,-6.82,-19.33,32.36,23.27,21.39,10.77,70.53,7.78,53.85,1.29,1.61,54.65,55.56,55.56,46.55,30.0,50.0,11.48,12.9,10.0,25.0,0.0,100.0
Messikrux,1124,-1027.76,-91.44,-256.94,38.69,27.82,25.59,15.12,66.0,7.29,46.67,3.32,4.06,79.2,62.22,50.0,37.68,8.33,0.0,16.67,13.04,12.5,50.0,75.0,100.0
munchma,1124,-290.84,-25.88,-72.71,44.25,16.15,42.24,6.46,64.81,4.9,83.33,19.02,2.26,76.32,63.64,40.0,35.88,47.62,0.0,12.63,7.5,0.0,33.33,40.0,100.0
pestrQ,1123,-469.76,-41.83,-117.44,34.38,24.28,24.55,12.71,66.67,5.8,64.71,0.8,2.06,54.74,28.57,75.0,26.32,27.59,28.57,5.66,5.41,7.14,100.0,42.11,50.0
YajoBaby,1120,136.48,12.19,34.12,25.62,19.23,14.62,9.53,80.65,5.56,60.0,0.85,1.39,54.55,61.54,20.0,30.43,35.71,33.33,6.38,4.55,25.0,0.0,100.0,50.0
arezo69,1120,109.4,9.77,27.35,25.85,22.11,9.16,7.64,82.56,8.24,71.43,0.65,1.64,67.86,34.48,75.0,10.71,18.18,20.0,20.0,13.64,9.09,33.33,42.11,50.0
VVaVVaN,1120,-275.92,-24.64,-68.98,29.85,16.73,27.61,2.21,86.73,5.15,100.0,1.79,2.35,50.0,63.64,40.0,41.54,36.36,25.0,1.85,12.0,0.0,0.0,50.0,100.0
berkay71,1119,-763.52,-68.23,-190.88,54.54,43.06,31.22,27.83,55.38,6.45,41.94,1.95,3.56,77.01,42.25,50.0,33.33,53.33,100.0,9.09,9.52,0.0,71.43,66.67,100.0
lc.v.fz,1113,-289.36,-26.0,-72.34,27.17,21.34,14.67,11.36,68.47,14.0,66.67,1.29,2.03,60.19,55.56,100.0,31.91,38.89,100.0,20.0,8.33,0.0,33.33,0.0,50.0
