player,hands,all-in_adj_bb,all-in_adj_bb_100,my_c_all-in_adj,vpip,pfr,call_any_pfr,3bet_pf,fold_to_3bet,4bet_pf,fold_to_4bet+,limp,total_af,cbet_f,cbet_t,cbet_r,fold_to_f_cbet,fold_to_t_cbet,fold_to_r_cbet,xr_flop,xr_turn,xr_river,fold_to_f_xr,fold_to_t_xr,fold_to_r_xr
vadimstryha,12169,1968.32,16.17,492.08,23.27,19.61,10.13,8.87,76.81,8.22,69.57,0.52,2.69,60.79,47.24,64.0,48.24,60.32,33.33,9.21,8.21,4.04,48.78,42.86,83.33
SugarRayLeon,12037,1564.6,13.0,391.15,25.45,21.06,12.17,9.19,73.53,8.76,59.34,0.57,2.64,57.93,66.31,56.96,48.38,45.07,42.11,10.3,10.65,5.38,39.02,42.31,42.86
reoanrudo,12025,-443.24,-3.69,-110.81,23.61,18.33,13.88,5.99,78.92,3.84,57.53,0.59,2.08,60.96,54.58,56.0,48.24,37.35,58.33,11.94,2.99,8.74,39.47,33.33,75.0
debankole!,11831,797.64,6.74,199.41,24.63,20.87,10.6,10.75,75.06,9.2,63.71,0.68,2.29,65.88,47.74,48.78,51.47,47.46,40.0,7.95,6.9,2.88,52.27,80.0,100.0
Denellus,11771,1902.84,16.17,475.71,25.18,20.76,12.77,9.81,72.65,5.71,66.0,0.49,1.84,63.75,45.42,60.34,42.78,47.62,57.69,6.02,8.02,4.14,55.56,47.37,57.14
Heaton#RISES,11730,1490.64,12.71,372.66,23.42,19.97,8.86,9.42,79.05,8.29,60.2,0.65,2.48,55.07,56.68,52.17,45.83,39.58,58.82,6.69,7.03,3.26,62.86,50.0,80.0
l9sik3,11713,5.52,0.05,1.38,25.53,20.49,13.58,9.44,78.81,3.35,64.29,0.0,2.04,52.9,48.25,37.5,44.9,42.7,73.08,4.44,3.26,0.0,54.55,41.18,40.0
TotusTen,11623,-698.64,-6.01,-174.66,16.29,12.81,9.39,4.38,80.75,5.33,60.98,0.48,1.85,59.71,44.64,32.14,44.8,46.77,28.57,7.74,6.9,2.86,58.33,40.0,
Cwetka,11557,-444.8,-3.85,-111.2,28.49,23.03,14.82,11.54,68.84,12.7,54.0,0.28,2.39,73.47,48.28,72.58,37.47,37.3,41.94,12.94,6.67,1.89,34.88,16.67,22.22
JoeyBaikie1,11479,1134.76,9.89,283.69,25.04,20.0,12.37,7.44,80.69,6.54,75.49,0.62,2.04,59.7,42.4,36.36,39.08,30.86,47.06,5.57,6.02,6.0,66.67,25.0,37.5
Danielitoosk,11437,560.76,4.9,140.19,30.38,24.06,16.41,11.96,68.66,10.69,56.36,0.83,2.08,65.73,57.69,51.19,40.08,48.31,26.32,13.54,7.18,4.81,28.57,33.33,0.0
ShakaUA,11429,-876.36,-7.67,-219.09,23.45,20.07,9.38,7.74,80.12,8.81,68.54,0.13,2.12,40.73,48.65,20.0,46.83,42.62,63.64,13.04,7.53,2.56,46.81,38.46,66.67
PalumboE,11391,1521.52,13.36,380.38,26.4,19.49,15.3,9.0,72.54,9.43,55.68,2.06,2.04,57.14,46.85,47.92,47.96,36.99,56.25,9.72,12.12,4.35,37.78,37.5,75.0
