all-in_adj_bb_100,vpip,pfr,call_any_pfr,3bet_pf,fold_to_3bet,4bet_pf,fold_to_4bet+,limp,total_af,cbet_f,cbet_t,cbet_r,fold_to_f_cbet,fold_to_t_cbet,fold_to_r_cbet,xr_flop,xr_turn,xr_river,fold_to_f_xr,fold_to_t_xr,fold_to_r_xr
10.26,26.12,19.48,15.47,7.24,73.14,6.37,63.38,1.81,3.35,68.05,44.81,44.04,49.84,45.45,58.62,14.1,3.45,1.84,50.0,26.32,44.44
8.59,22.22,18.82,9.87,10.5,79.69,6.51,64.0,0.26,3.04,59.6,62.64,50.0,50.45,37.66,37.5,11.67,9.95,5.22,49.12,69.57,50.0
8.3,21.67,17.52,10.9,9.9,76.49,9.06,61.96,0.67,2.73,52.67,65.75,47.44,53.81,44.09,45.0,10.62,7.82,2.52,45.16,52.63,57.14
13.1,22.45,19.38,9.56,9.11,77.41,6.43,50.34,0.11,1.73,49.85,58.17,58.43,36.72,41.96,27.03,8.5,5.69,5.91,31.71,26.67,28.57
4.95,22.52,17.85,12.68,6.41,77.22,6.22,65.08,0.13,2.02,53.03,67.37,60.53,49.5,30.11,56.67,6.73,4.51,2.1,62.5,63.64,80.0
0.04,23.87,18.56,15.03,8.37,69.35,5.05,54.33,0.31,2.1,55.86,44.29,38.57,51.64,48.05,61.76,7.31,6.6,8.24,33.93,31.25,0.0
1.25,22.93,19.09,10.03,8.33,81.57,6.78,66.67,0.23,2.29,52.46,54.23,32.35,39.95,51.92,68.42,15.17,7.09,5.44,60.61,47.37,83.33
2.59,28.72,23.21,15.03,13.41,76.61,5.53,61.04,0.03,2.73,61.54,58.93,42.99,39.57,49.1,51.35,14.43,11.11,8.09,49.4,75.0,50.0
15.46,26.27,20.8,15.17,10.68,67.9,10.44,56.35,0.03,2.39,73.18,57.08,57.14,29.71,37.87,56.76,16.43,11.76,2.87,58.46,39.13,85.71
-2.6,26.08,20.12,15.8,7.89,73.91,5.72,64.18,0.44,2.03,58.6,53.83,32.29,47.51,49.66,45.0,4.32,3.96,2.78,42.11,45.45,50.0
-0.58,26.35,20.96,13.54,8.98,77.73,6.75,72.93,0.51,2.64,79.2,57.36,53.45,35.26,31.71,70.59,15.94,5.39,1.88,41.67,73.91,60.0
11.01,29.42,24.88,13.25,11.15,68.74,13.72,52.38,0.03,2.57,73.75,50.0,50.0,41.15,36.65,35.0,9.98,8.36,6.01,31.33,40.0,54.55
2.69,24.59,20.03,10.7,8.65,79.35,7.47,71.23,1.15,2.54,58.98,54.55,35.16,40.61,50.83,57.89,13.09,8.82,3.03,43.66,61.9,61.54
3.21,21.77,17.28,12.58,8.99,76.92,4.07,74.68,0.35,2.86,57.78,62.37,58.47,48.23,50.0,57.14,4.09,8.22,0.8,44.83,52.17,42.86
7.12,22.65,18.92,10.23,6.87,79.48,3.4,69.91,0.78,2.3,43.15,54.71,43.64,42.24,40.21,31.25,9.5,11.86,3.26,54.84,39.13,50.0
2.28,24.52,19.94,11.61,8.76,78.55,7.86,69.85,0.71,2.17,81.84,51.13,51.52,36.42,31.88,48.98,4.67,4.76,5.88,39.58,52.94,62.5
3.96,22.3,19.95,7.67,9.8,79.24,4.62,69.03,0.07,3.47,75.94,44.15,54.76,48.16,26.76,37.5,5.69,2.86,0.87,66.0,19.05,100.0
-2.97,27.06,24.53,9.23,13.35,67.37,12.86,59.91,0.1,3.36,66.72,65.24,52.25,36.84,36.84,35.29,19.43,15.26,13.28,30.23,38.46,60.0
5.29,25.6,20.99,12.84,9.89,73.21,8.6,59.32,0.58,2.17,66.82,48.87,56.52,44.34,42.11,44.74,7.67,5.59,8.79,42.62,31.58,58.33
7.23,24.96,20.03,15.07,9.45,66.58,9.44,54.38,0.2,1.97,64.68,40.84,66.1,40.0,29.53,30.0,15.54,4.02,3.16,17.33,26.67,20.0
5.42,24.95,18.76,16.28,8.88,71.43,5.39,62.16,1.05,1.57,57.51,54.78,46.77,41.1,37.95,41.86,8.4,6.99,11.8,50.98,36.84,50.0
-7.75,19.8,16.25,8.66,8.1,81.71,5.97,70.42,0.89,1.95,41.79,37.02,52.38,45.8,46.75,62.5,10.43,5.0,3.81,30.0,57.14,0.0
0.56,22.6,18.02,12.47,7.12,75.53,6.3,58.91,0.63,1.91,63.32,53.74,36.99,49.14,41.44,46.15,7.05,8.61,4.93,36.0,61.54,0.0
12.29,25.41,20.82,12.73,8.75,76.68,6.27,72.36,0.13,2.32,66.92,49.25,53.01,42.39,44.63,18.52,8.4,4.9,4.91,34.43,40.0,33.33
0.83,23.17,20.19,9.03,10.51,76.7,7.78,55.92,0.1,2.17,66.7,43.61,60.34,43.51,42.57,50.0,9.74,7.48,0.62,44.29,25.0,62.5
0.68,22.79,16.96,14.67,6.0,74.08,8.2,58.76,0.57,2.35,71.47,49.68,41.67,50.65,31.93,36.67,6.73,9.82,1.33,36.59,37.04,50.0
-9.79,52.11,36.82,36.37,6.15,60.72,4.76,81.34,0.88,1.62,59.2,47.13,37.59,43.88,48.28,44.44,4.14,4.93,2.98,52.31,32.5,55.56
-1.72,25.2,20.58,10.62,8.29,83.76,6.68,63.08,0.91,1.89,62.03,43.27,61.84,44.89,52.55,36.0,3.36,2.8,0.82,45.45,52.63,85.71
